Membership No  Date Joined  Active  
    29677      2018-6-25    no    
    61954      2020-5-21    no    
    14456      2019-4-24    no    
    81009      2018-6-5     no    
    83781      2017-11-18   no    
    45521      2016-5-7     no    
    76126      2017-7-1     no    
    17585      2020-3-8     no    
    94986      2017-6-1     no    
    21276      2016-9-10    no    
    56375      2017-12-20   no    
    51944      2018-4-20    no    
    71488      2016-2-22    no    
    57806      2015-12-18   no    
